rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours
127,41.61,1.75,5.0,8.0,288,220802.78176000112,356,75.28,0.126,-10.076,30.74,1.943,1.5
128,41.61,1.75,5.0,8.0,432,220802.78176000112,356,75.28,0.126,-10.076,30.74,1.943,1.5
129,41.58,1.75,5.0,8.0,144,221093.64070000095,358,75.14,0.125,-10.1,30.78,1.939,1.47
130,41.07,1.25,5.0,6.0,288,236979.12958000007,595,70.76,0.155,-11.544,32.99,1.643,1.3
131,41.07,1.25,5.0,6.0,432,236979.12958000007,595,70.76,0.155,-11.544,32.99,1.643,1.3
132,41.06,1.25,5.0,6.0,144,237269.73460000043,597,70.69,0.155,-11.567,33.03,1.643,1.3
133,40.82,1.5,5.0,6.0,288,234146.49893999967,489,69.94,0.147,-10.837,32.6,1.758,1.29
134,40.82,1.5,5.0,6.0,432,234146.49893999967,489,69.94,0.147,-10.837,32.6,1.758,1.29
135,40.81,1.5,5.0,6.0,144,234617.18537999986,491,69.86,0.147,-10.875,32.66,1.756,1.27
136,40.67,2.0,5.0,6.0,288,217337.40089999972,321,71.03,0.143,-10.014,30.26,2.023,1.27
137,40.67,2.0,5.0,6.0,432,217337.40089999972,321,71.03,0.143,-10.014,30.26,2.023,1.27
138,40.52,2.0,5.0,6.0,144,217033.12223999982,322,70.5,0.143,-9.989,30.22,2.017,1.24
139,40.46,1.75,4.0,6.0,288,215554.40468000172,437,72.08,0.131,-9.885,30.01,1.815,1.13
140,40.46,1.75,4.0,6.0,432,215554.40468000172,437,72.08,0.131,-9.885,30.01,1.815,1.13
141,40.44,1.75,4.0,6.0,144,215845.26362000155,439,71.98,0.13,-9.909,30.05,1.812,1.11
142,39.85,1.75,5.0,6.0,288,215666.77524000188,400,69.5,0.132,-9.736,30.03,1.826,1.3
143,39.85,1.75,5.0,6.0,432,215666.77524000188,400,69.5,0.132,-9.736,30.03,1.826,1.3
144,39.83,1.75,5.0,6.0,144,215957.6341800017,402,69.4,0.132,-9.76,30.07,1.822,1.27
