rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours,oos_pnl,oos_trades,oos_win_rate,oos_sharpe,oos_max_dd,oos_ann_ret,oos_profit_factor
100,48.88,2.0,5.0,8.0,288,352079.9922800022,561,76.29,0.052,-13.269,55.65,1.917,1.28,,,,,,,
101,48.88,2.0,5.0,8.0,432,352079.9922800022,561,76.29,0.052,-13.269,55.65,1.917,1.28,,,,,,,
102,48.77,1.5,5.0,10.0,288,340242.8729000008,793,79.07,0.069,-11.408,53.72,1.645,1.43,,,,,,,
103,48.77,1.5,5.0,10.0,432,340242.8729000008,793,79.07,0.069,-11.408,53.72,1.645,1.43,,,,,,,
104,48.75,1.75,4.0,8.0,144,347939.49256000435,778,78.02,0.043,-13.489,54.99,1.722,1.11,,,,,,,
105,48.75,2.0,5.0,8.0,144,351150.90020000224,563,76.02,0.053,-13.269,55.5,1.908,1.26,,,,,,,
106,48.72,1.75,4.0,8.0,288,347098.22734000476,774,78.04,0.043,-13.489,54.86,1.726,1.13,,,,,,,
107,48.72,1.75,4.0,8.0,432,347098.22734000476,774,78.04,0.043,-13.489,54.86,1.726,1.13,,,,,,,
108,48.47,1.5,5.0,10.0,144,335288.15252000093,796,78.89,0.07,-11.408,52.94,1.63,1.42,,,,,,,
109,48.41,1.75,5.0,10.0,288,339507.5623600029,671,77.94,0.05,-12.135,53.66,1.739,1.41,,,,,,,
110,48.41,1.75,5.0,10.0,432,339507.5623600029,671,77.94,0.05,-12.135,53.66,1.739,1.41,,,,,,,
111,48.39,1.75,5.0,10.0,144,339593.60098000255,674,77.89,0.05,-12.135,53.67,1.734,1.39,,,,,,,
112,48.03,1.25,5.0,8.0,288,341213.4705000002,1062,76.93,0.06,-11.616,53.87,1.517,1.27,,,,,,,
113,48.03,1.25,5.0,8.0,432,341213.4705000002,1062,76.93,0.06,-11.616,53.87,1.517,1.27,,,,,,,
114,47.89,1.25,5.0,8.0,144,339566.562000001,1066,76.74,0.061,-11.53,53.61,1.51,1.26,,,,,,,
115,47.86,1.25,3.0,6.0,288,337955.3823400064,1440,77.01,0.065,-12.203,53.36,1.458,0.85,,,,,,,
116,47.86,1.25,3.0,6.0,432,337955.3823400064,1440,77.01,0.065,-12.203,53.36,1.458,0.85,,,,,,,
117,47.81,1.25,3.0,6.0,144,337286.0094400069,1442,76.98,0.065,-12.203,53.25,1.456,0.85,,,,,,,
118,47.78,1.5,4.0,6.0,144,350266.55831999786,1033,73.77,0.062,-14.138,55.31,1.571,1.01,,,,,,,
119,47.75,1.5,4.0,6.0,288,349435.8139199978,1031,73.81,0.063,-14.138,55.17,1.571,1.01,,,,,,,
120,47.75,1.5,4.0,6.0,432,349435.8139199978,1031,73.81,0.063,-14.138,55.17,1.571,1.01,,,,,,,
121,47.13,1.25,5.0,10.0,288,311184.87760000036,972,79.32,0.061,-12.635,49.13,1.504,1.4,,,,,,,
122,47.13,1.25,5.0,10.0,432,311184.87760000036,972,79.32,0.061,-12.635,49.13,1.504,1.4,,,,,,,
123,47.12,1.75,4.0,6.0,144,337357.8063800027,846,73.88,0.045,-13.583,53.32,1.652,1.0,,,,,,,
124,47.1,1.75,4.0,6.0,288,336706.88948000286,844,73.93,0.045,-13.583,53.22,1.653,1.01,,,,,,,
125,47.1,1.75,4.0,6.0,432,336706.88948000286,844,73.93,0.045,-13.583,53.22,1.653,1.01,,,,,,,
126,46.98,1.25,5.0,10.0,144,309213.22882000124,977,79.12,0.061,-12.525,48.82,1.495,1.39,,,,,,,
127,46.94,1.5,5.0,8.0,288,321880.35059999855,853,75.73,0.072,-10.442,50.82,1.559,1.3,,,,,,,
128,46.94,1.5,5.0,8.0,432,321880.35059999855,853,75.73,0.072,-10.442,50.82,1.559,1.3,,,,,,,
129,46.73,1.25,4.0,6.0,288,326210.3036600027,1272,74.61,0.072,-11.965,51.51,1.448,1.01,,,,,,,
130,46.73,1.25,4.0,6.0,432,326210.3036600027,1272,74.61,0.072,-11.965,51.51,1.448,1.01,,,,,,,
131,46.69,1.25,4.0,6.0,144,325540.9307600032,1274,74.57,0.072,-11.888,51.4,1.446,1.01,,,,,,,
132,46.66,1.5,5.0,8.0,144,316925.6302199987,856,75.58,0.073,-10.442,50.04,1.545,1.29,,,,,,,
133,46.46,1.75,5.0,8.0,288,315343.5925600021,705,75.46,0.049,-11.889,49.84,1.643,1.31,,,,,,,
134,46.46,1.75,5.0,8.0,432,315343.5925600021,705,75.46,0.049,-11.889,49.84,1.643,1.31,,,,,,,
135,46.44,1.75,5.0,8.0,144,315429.6311800019,708,75.42,0.049,-11.889,49.85,1.639,1.3,,,,,,,
136,45.83,1.5,5.0,6.0,144,326693.65697999677,943,70.94,0.06,-13.01,51.58,1.528,1.15,,,,,,,
137,45.8,1.5,5.0,6.0,288,325862.9125799967,941,70.99,0.061,-13.01,51.45,1.528,1.16,,,,,,,
138,45.8,1.5,5.0,6.0,432,325862.9125799967,941,70.99,0.061,-13.01,51.45,1.528,1.16,,,,,,,
139,45.51,1.75,5.0,6.0,144,319371.9978200026,778,71.08,0.049,-12.022,50.48,1.605,1.15,,,,,,,
140,45.49,1.75,5.0,6.0,288,318721.0809200029,776,71.13,0.049,-12.022,50.38,1.605,1.16,,,,,,,
141,45.49,1.75,5.0,6.0,432,318721.0809200029,776,71.13,0.049,-12.022,50.38,1.605,1.16,,,,,,,
142,44.55,1.25,5.0,6.0,288,297730.1599999991,1151,72.02,0.065,-11.987,47.01,1.408,1.16,,,,,,,
143,44.55,1.25,5.0,6.0,432,297730.1599999991,1151,72.02,0.065,-11.987,47.01,1.408,1.16,,,,,,,
144,44.51,1.25,5.0,6.0,144,297060.7870999995,1153,71.99,0.065,-11.911,46.9,1.406,1.15,,,,,,,
