datetime,near_open,near_high,near_low,near_close,near_vol,near_hold,symbol_x,far_open,far_high,far_low,far_close,far_vol,far_hold,symbol_y,product,near_symbol,far_symbol,raw_basis,raw_annualized_rate,dividend_adjusted_basis,adj_annualized_rate,dividend_between,days_to_near_expiry,days_to_far_expiry,near_expiry,far_expiry
2026-04-22 10:40:00,4715.2,4719.6,4713.8,4714.0,958,133678,IF2606,4636.0,4640.8,4634.4,4634.4,142,67537,IF2609,IF,IF2606,IF2609,-79.60000000000036,-6.772904651563995,-34.600000000000364,-2.944001268142156,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 10:45:00,4714.2,4716.4,4711.0,4714.2,677,133707,IF2606,4634.4,4637.6,4633.0,4635.0,121,67559,IF2609,IF,IF2606,IF2609,-79.19999999999982,-6.738584058171672,-34.19999999999982,-2.9098431160286675,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 10:50:00,4714.6,4716.4,4710.4,4711.2,579,133738,IF2606,4635.0,4637.0,4632.2,4633.2,94,67560,IF2609,IF,IF2606,IF2609,-78.0,-6.640710283094389,-33.0,-2.809531273616857,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 10:55:00,4711.4,4715.4,4711.0,4711.2,532,133717,IF2606,4633.2,4637.0,4632.4,4633.0,70,67554,IF2609,IF,IF2606,IF2609,-78.19999999999982,-6.657737745358718,-33.19999999999982,-2.8265587358811857,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:00:00,4711.4,4716.0,4710.4,4715.8,535,133817,IF2606,4633.0,4636.4,4631.2,4636.4,95,67554,IF2609,IF,IF2606,IF2609,-79.40000000000055,-6.7533086108937965,-34.400000000000546,-2.925866702956532,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:05:00,4716.0,4723.6,4715.6,4722.0,896,133768,IF2606,4636.8,4644.8,4636.4,4643.2,128,67550,IF2609,IF,IF2606,IF2609,-78.80000000000018,-6.693475943793621,-33.80000000000018,-2.871059478429252,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:10:00,4721.2,4725.6,4719.4,4720.2,1052,133882,IF2606,4643.0,4646.8,4641.0,4641.0,199,67552,IF2609,IF,IF2606,IF2609,-79.19999999999982,-6.730018424438137,-34.19999999999982,-2.906144319643732,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:15:00,4720.2,4720.6,4710.8,4715.6,1181,134011,IF2606,4641.0,4641.2,4631.0,4636.2,228,67589,IF2609,IF,IF2606,IF2609,-79.40000000000055,-6.7535950350438885,-34.400000000000546,-2.925990796039192,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:20:00,4715.6,4719.2,4714.0,4714.0,655,134141,IF2606,4636.2,4640.6,4635.2,4636.2,93,67605,IF2609,IF,IF2606,IF2609,-77.80000000000018,-6.619748516227106,-32.80000000000018,-2.7908451328052664,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:25:00,4714.0,4718.6,4712.0,4717.8,530,134212,IF2606,4635.2,4639.4,4633.2,4639.2,111,67643,IF2609,IF,IF2606,IF2609,-78.60000000000036,-6.682431138745552,-33.600000000000364,-2.8566117845019336,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 11:30:00,4718.4,4728.6,4715.0,4726.6,1213,134392,IF2606,4639.2,4649.8,4636.2,4648.6,271,67659,IF2609,IF,IF2606,IF2609,-78.0,-6.619073813251446,-33.0,-2.8003773825294576,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 13:05:00,4725.0,4730.2,4718.8,4719.4,1843,134637,IF2606,4647.0,4651.4,4639.4,4641.0,372,67729,IF2609,IF,IF2606,IF2609,-78.39999999999964,-6.663167742965992,-33.399999999999636,-2.8386454415186573,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 13:10:00,4719.2,4722.2,4715.6,4719.4,1366,134912,IF2606,4640.8,4644.2,4637.0,4641.6,30,67840,IF2609,IF,IF2606,IF2609,-77.79999999999927,-6.612174112279996,-32.79999999999927,-2.7876518108326613,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 13:15:00,4720.0,4726.8,4719.4,4725.6,785,135176,IF2606,4641.6,4649.0,4641.0,4646.6,129,67889,IF2609,IF,IF2606,IF2609,-79.0,-6.705352375743436,-34.0,-2.8858478579148965,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 13:20:00,4725.6,4729.4,4723.2,4729.2,764,135460,IF2606,4646.6,4650.2,4644.8,4650.0,124,67917,IF2609,IF,IF2606,IF2609,-79.19999999999982,-6.7172107263454475,-34.19999999999982,-2.9006137227400712,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 13:25:00,4728.8,4732.8,4726.0,4732.4,965,135791,IF2606,4650.0,4653.4,4647.4,4652.8,422,67864,IF2609,IF,IF2606,IF2609,-79.59999999999945,-6.746570984589703,-34.599999999999454,-2.9325547244573067,45.0,55,146,2026-06-19,2026-09-18
2026-04-22 13:30:00,4732.2,4732.6,4727.2,4731.0,944,135936,IF2606,4653.4,4653.4,4649.0,4651.8,189,67910,IF2609,IF,IF2606,IF2609,-79.19999999999982,-6.7146550342491835,-34.19999999999982,-2.899510128425775,45.0,55,146,2026-06-19,2026-09-18
